annee,profession_sante,region,departement,hono_sans_depassement_moyens
2015,Ensemble des médecins spécialistes (hors généralistes),53,35,262137
2016,Orthoptistes,84,15,50893
2021,Sages-femmes,76,34,72474
2019,Ophtalmologues,75,24,371491
2012,Sages-femmes,24,41,37371
2019,Chirurgiens-dentistes spécialistes d'orthopédie dento-faciale (ODF),11,92,144955
2020,Médecins généralistes à expertise particulière (MEP),52,72,182554
2012,Chirurgiens,44,67,208820
2022,Oto-rhino-laryngologistes,27,25,212712
2012,Hépato-gastro-entérologues,75,87,263061
2017,Neurologues,6,976,0
2016,Ensemble des médecins généralistes,75,87,138861
2018,Ensemble des médecins,52,72,279828
2015,Orthophonistes,93,999,55633
2022,Ensemble des médecins généralistes,28,999,182738
2021,Pédicures-podologues,84,42,6063
2011,Médecins généralistes à expertise particulière (MEP),84,07,121718
2017,Ensemble des chirurgiens-dentistes,76,12,125228
2016,Sages-femmes,44,55,51975
2021,Orthophonistes,1,971,65022
2018,Pédicures-podologues,11,78,1341
2015,Orthophonistes,32,62,55245
2019,Ophtalmologues,44,51,346745
2016,Médecins généralistes (hors médecins à expertise particulière - MEP),27,71,154244
2018,Orthophonistes,28,27,52587
2018,Radiologues,93,84,367570
2020,Ensemble des chirurgiens-dentistes,75,999,127001
2021,Infirmiers,11,93,116475
2010,Ensemble des médecins spécialistes (hors généralistes),76,81,248424
2011,Neurologues,11,94,112886
2015,Pneumologues,93,13,181796
2010,Radiologues,76,11,409196
2012,Ensemble des chirurgiens-dentistes,75,86,135532
2020,Chirurgiens-dentistes (hors spécialistes d'orthopédie dento-faciale - ODF),11,75,95856
2022,Ensemble des médecins,84,69,225777
2021,Allergologues,6,976,0
2013,Médecins généralistes (hors médecins à expertise particulière - MEP),75,19,145377
2010,Hépato-gastro-entérologues,93,13,151416
2022,Masseurs-kinésithérapeutes,93,04,73878
2020,Ensemble des médecins spécialistes (hors généralistes),52,53,387749
2011,Pneumologues,44,55,0
2020,Médecins généralistes à expertise particulière (MEP),11,94,199939
2011,Ensemble des médecins généralistes,24,37,135008
2011,Médecins pathologistes,44,57,322099
2013,Anesthésistes-réanimateurs,84,38,189337
2015,Orthophonistes,75,79,47601
2022,Dermatologues,28,999,171698
2010,Médecins généralistes à expertise particulière (MEP),11,95,111888
2017,Chirurgiens-dentistes (hors spécialistes d'orthopédie dento-faciale - ODF),2,972,162225
2012,Chirurgiens,76,65,248654
2021,Gynécologues médicaux et obstétriciens,53,35,226084
2012,Oto-rhino-laryngologistes,27,21,196559
2018,Ensemble des chirurgiens-dentistes,75,40,132426
2021,Hépato-gastro-entérologues,75,19,316180
2016,Stomatologues,32,62,207638
2012,Hépato-gastro-entérologues,52,999,258180
2021,Masseurs-kinésithérapeutes,94,999,109819
2012,Ensemble des médecins spécialistes (hors généralistes),84,03,280487
2021,Masseurs-kinésithérapeutes,76,82,82537
2013,Chirurgiens-dentistes (hors spécialistes d'orthopédie dento-faciale - ODF),6,999,122079
2020,Neurologues,28,14,274251
2010,Hépato-gastro-entérologues,28,27,139516
2016,Dermatologues,28,61,159180
2021,Ensemble des chirurgiens-dentistes,94,999,148468
2020,Pédicures-podologues,75,23,4319
2021,Psychiatres,76,30,204333
2018,Hépato-gastro-entérologues,84,999,243240
2020,Dermatologues,6,976,0
2014,Hépato-gastro-entérologues,24,41,235287
2016,Ensemble des médecins,75,79,224679
2020,Autres médecins,93,13,114080
2016,Ophtalmologues,76,81,397615
